管段ID,管道名称,起点节点,终点节点,起点节点ID,终点节点ID,起点经度_WGS84,起点纬度_WGS84,终点经度_WGS84,终点纬度_WGS84,设计输量_万吨年,投产年份,管段方向,坐标说明
S129,石太管道,石家庄,高庄,N106,N149,114.5089353,38.04183339,114.5089353,38.04183339,820.0,2007,石家庄 → 高庄,节点坐标为城市点位或别名映射后的地级市点位
S130,石太管道,高庄,阳泉,N149,N146,114.5089353,38.04183339,113.5899658,37.84854586,820.0,2007,高庄 → 阳泉,节点坐标为城市点位或别名映射后的地级市点位
S131,石太管道,阳泉,晋中,N146,N064,113.5899658,37.84854586,112.7446161,37.68567283,820.0,2007,阳泉 → 晋中,节点坐标为城市点位或别名映射后的地级市点位
S132,石太管道,晋中,太原,N064,N040,112.7446161,37.68567283,112.5426953,37.87098243,820.0,2007,晋中 → 太原,节点坐标为城市点位或别名映射后的地级市点位
S133,洛驻管道,洛阳,巩义,N088,N048,112.402798,34.64229511,113.6193176,34.74752068,820.0,2007,洛阳 → 巩义,节点坐标为城市点位或别名映射后的地级市点位
S134,洛驻管道,巩义,郑州,N048,N133,113.6193176,34.74752068,113.6193176,34.74752068,820.0,2007,巩义 → 郑州,节点坐标为城市点位或别名映射后的地级市点位
S135,洛驻管道,郑州,许昌,N133,N125,113.6193176,34.74752068,113.8418998,34.03900016,820.0,2007,郑州 → 许昌,节点坐标为城市点位或别名映射后的地级市点位
S136,洛驻管道,许昌,漯河,N125,N096,113.8418998,34.03900016,114.012047,33.58330496,820.0,2007,许昌 → 漯河,节点坐标为城市点位或别名映射后的地级市点位
S137,洛驻管道,漯河,驻马店,N096,N148,114.012047,33.58330496,114.0197418,33.00970244,820.0,2007,漯河 → 驻马店,节点坐标为城市点位或别名映射后的地级市点位
S138,驻信管道,驻马店,信阳,N148,N014,114.0197418,33.00970244,114.0851703,32.15058474,820.0,2013,驻马店 → 信阳,节点坐标为城市点位或别名映射后的地级市点位
S139,南武管道,南疆(天津,武清,N028,N079,117.2614223,39.13515139,117.2614223,39.13515139,155.0,2018,南疆(天津) → 武清,节点坐标为城市点位或别名映射后的地级市点位
